Runs,L,G,alpha,w_MEA,y_CO2,CO2 CAP%,Results
1,1.89,0.6244,0.145,0.298,0.1155,93.99,"Solved? Yes, successful convergence with 11 Jac evaluations"
2,3.276,0.6231,0.247,0.312,0.114,88,"Solved? Yes, successful convergence with 8 Jac evaluations"
3,0.882,0.6228,0.091,0.295,0.1058,89.55,"Solved? Yes, successful convergence with 5 Jac evaluations"
4,0.882,0.6231,0.083,0.31,0.1145,90.43,"Solved? Yes, successful convergence with 4 Jac evaluations"
5,1.89,0.6208,0.108,0.306,0.0919,94.83,"Solved? Yes, successful convergence with 10 Jac evaluations"
6,1.89,0.6214,0.347,0.307,0.0912,80.49,"Solved? Yes, successful convergence with 9 Jac evaluations"
7,3.275,0.6203,0.399,0.288,0.0918,62.07,"Solved? Yes, successful convergence with 5 Jac evaluations"
8,3.234,0.6214,0.154,0.285,0.092,83.64,"Solved? Yes, successful convergence with 4 Jac evaluations"
9,0.882,0.62,0.239,0.311,0.0922,77.5,"Solved? Yes, successful convergence with 4 Jac evaluations"
11,1.89,0.6214,0.161,0.293,0.1001,93.51,"Solved? Yes, successful convergence with 6 Jac evaluations"
12,1.89,0.6197,0.16,0.293,0.0824,93.67,"Solved? Yes, successful convergence with 7 Jac evaluations"
13,1.89,0.6217,0.164,0.303,0.0935,94.73,"Solved? Yes, successful convergence with 9 Jac evaluations"
14,2.457,0.8042,0.224,0.303,0.0901,84.7,"Solved? Yes, successful convergence with 6 Jac evaluations"
15,2.457,0.8078,0.224,0.313,0.0907,86.82,"Solved? Yes, successful convergence with 6 Jac evaluations"
16,1.147,0.8064,0.124,0.329,0.0921,95.17,"Solved? Yes, successful convergence with 8 Jac evaluations"
18,1.89,0.6308,0.141,0.302,0.1019,94.39,"Solved? Yes, successful convergence with 9 Jac evaluations"
19,3.276,0.4,0.184,0.278,0.11,92.37,"Solved? Yes, successful convergence with 7 Jac evaluations"
