Runs,L,G,alpha,w_MEA,y_CO2,CO2 CAP%,Results
1,1.814238771,0.56518051,0.109364581,0.300797009,0.101340931,96.06,"Solved? Yes, successful convergence with 10 obj function evaluations"
2,1.287538773,0.676812053,0.198332591,0.296939187,0.094902912,90.59,"Solved? Yes, successful convergence with 5 obj function evaluations"
3,1.791440912,0.672587721,0.102818298,0.28871601,0.10326732,92.3,"Solved? Yes, successful convergence with 8 obj function evaluations"
4,1.214135982,0.693637765,0.200054445,0.290750147,0.107573422,78.86,"Solved? Yes, successful convergence with 4 obj function evaluations"
5,1.839524957,0.600369878,0.143188527,0.310858059,0.096509148,96.16,"Solved? Yes, successful convergence with 10 obj function evaluations"
6,1.777919882,0.627450841,0.111212917,0.301193288,0.104447128,94.94,"Solved? Yes, successful convergence with 15 obj function evaluations"
7,1.906978073,0.639314021,0.186300193,0.307943784,0.093621842,94.68,"Solved? Yes, successful convergence with 7 obj function evaluations"
8,2.207887643,0.491488162,0.176388309,0.303499701,0.095104216,96.38,"Solved? Yes, successful convergence with 13 obj function evaluations"
9,1.366822153,0.638192379,0.121319838,0.289237094,0.100851404,95.5,"Solved? Yes, successful convergence with 9 obj function evaluations"
10,1.640865388,0.556121692,0.167071435,0.302632046,0.10102234,97.16,"Solved? Yes, successful convergence with 13 obj function evaluations"
11,2.644165809,0.544822439,0.208714453,0.285954317,0.103522399,90.29,"Solved? Yes, successful convergence with 5 obj function evaluations"
12,1.469071705,0.521385868,0.244217735,0.284753931,0.092125793,95.42,"Solved? Yes, successful convergence with 7 obj function evaluations"
13,1.39002134,0.609248184,0.212758093,0.309692978,0.100374381,96.05,"Solved? Yes, successful convergence with 8 obj function evaluations"
14,1.967187548,0.715985372,0.242796632,0.304075712,0.105649893,88.18,"Solved? Yes, successful convergence with 7 obj function evaluations"
15,1.952192623,0.602401427,0.19741952,0.306738764,0.098884558,95.09,"Solved? Yes, successful convergence with 16 obj function evaluations"
16,2.26773421,0.684060062,0.156138898,0.2976962,0.103352148,89.97,"Solved? Yes, successful convergence with 6 obj function evaluations"
17,1.734806869,0.578692239,0.225685787,0.304360321,0.092235574,96.03,"Solved? Yes, successful convergence with 8 obj function evaluations"
18,2.494187004,0.475341066,0.231743377,0.284183063,0.098370746,93.08,"Solved? Yes, successful convergence with 6 obj function evaluations"
19,1.934021536,0.480829946,0.178447684,0.302891822,0.098015366,97.5,"Solved? Yes, successful convergence with 14 obj function evaluations"
20,2.660405059,0.644742636,0.09723422,0.305905288,0.093455231,89.22,"Solved? Yes, successful convergence with 5 obj function evaluations"
21,2.452788045,0.661167878,0.100997484,0.304550242,0.094298375,89.98,"Solved? Yes, successful convergence with 5 obj function evaluations"
22,2.199943309,0.542995178,0.222608572,0.286744182,0.096048437,92.67,"Solved? Yes, successful convergence with 6 obj function evaluations"
23,1.574865256,0.58705501,0.140571757,0.295535293,0.10208361,96.33,"Solved? Yes, successful convergence with 11 obj function evaluations"
24,1.419202107,0.641150452,0.087554594,0.301093508,0.094504578,96.49,"Solved? Yes, successful convergence with 12 obj function evaluations"
25,1.507676272,0.498159819,0.135839018,0.28829972,0.10517699,97.79,"Solved? Yes, successful convergence with 25 obj function evaluations"
26,1.602212278,0.535185659,0.086865264,0.292974805,0.091963377,96.94,"Solved? Yes, successful convergence with 11 obj function evaluations"
27,1.888292443,0.514440426,0.095560287,0.304264302,0.105030818,96.88,"Solved? Yes, successful convergence with 15 obj function evaluations"
28,2.039338047,0.518285494,0.15764622,0.283887733,0.099667326,94.63,"Solved? Yes, successful convergence with 7 obj function evaluations"
29,1.545499568,0.472717508,0.16557478,0.30375762,0.107257605,97,"Solved? No, too many function evaluations required with 25 obj function evaluations"
30,2.503571725,0.603892718,0.187225003,0.287771714,0.106550633,89.41,"Solved? Yes, successful convergence with 6 obj function evaluations"
31,1.308502879,0.631839506,0.17346099,0.306100705,0.106014352,95.51,"Solved? Yes, successful convergence with 7 obj function evaluations"
32,1.754594241,0.657532895,0.206475782,0.290362075,0.099251312,91.4,"Solved? Yes, successful convergence with 7 obj function evaluations"
33,2.097598385,0.530686144,0.137269744,0.306473829,0.094650485,96.06,"Solved? Yes, successful convergence with 12 obj function evaluations"
34,2.133049461,0.563979553,0.236246786,0.300212115,0.091230931,94.06,"Solved? Yes, successful convergence with 5 obj function evaluations"
35,1.191417197,0.560846537,0.23724686,0.287605509,0.105853345,85.45,"Solved? Yes, successful convergence with 4 obj function evaluations"
36,2.51329044,0.569109257,0.089972776,0.288844903,0.094970606,90.51,"Solved? Yes, successful convergence with 5 obj function evaluations"
37,2.055217647,0.710005241,0.211723704,0.287243187,0.102617366,86.74,"Solved? Yes, successful convergence with 7 obj function evaluations"
38,2.605208931,0.595443884,0.240284878,0.304930597,0.101912617,91.26,"Solved? Yes, successful convergence with 6 obj function evaluations"
39,2.026962943,0.621095192,0.099683774,0.283065174,0.098767339,91.49,"Solved? Yes, successful convergence with 6 obj function evaluations"
40,1.679687564,0.699904703,0.131767556,0.3103423,0.091756319,94.87,"Solved? Yes, successful convergence with 12 obj function evaluations"
41,2.235211682,0.663029514,0.117192369,0.299755766,0.100306499,91.04,"Solved? Yes, successful convergence with 6 obj function evaluations"
42,1.629233535,0.551905694,0.164271913,0.30989271,0.102925824,97.75,"Solved? Yes, successful convergence with 25 obj function evaluations"
43,2.175016974,0.559710411,0.182933856,0.301880847,0.090636618,94.7,"Solved? Yes, successful convergence with 7 obj function evaluations"
44,2.613246994,0.650765392,0.230564587,0.305557967,0.099366905,89.6,"Solved? Yes, successful convergence with 6 obj function evaluations"
45,2.089341854,0.696535489,0.233747269,0.293437187,0.099784267,87.68,"Solved? Yes, successful convergence with 7 obj function evaluations"
46,1.472734763,0.674137168,0.195748047,0.291674821,0.107655313,88.65,"Solved? Yes, successful convergence with 5 obj function evaluations"
47,1.18154452,0.597035799,0.246544724,0.295876035,0.097882272,85.55,"Solved? Yes, successful convergence with 4 obj function evaluations"
48,1.924904217,0.511740126,0.228000087,0.297030546,0.092579342,96.14,"Solved? Yes, successful convergence with 8 obj function evaluations"
49,1.729501662,0.621880422,0.248222532,0.294178423,0.091523042,92.14,"Solved? Yes, successful convergence with 6 obj function evaluations"
50,2.47120831,0.526393284,0.1592141,0.308288978,0.104763675,94.9,"Solved? Yes, successful convergence with 18 obj function evaluations"
51,1.667144363,0.70359356,0.144479212,0.300560961,0.099027797,93.54,"Solved? Yes, successful convergence with 7 obj function evaluations"
52,2.397537036,0.501869017,0.106863643,0.298220482,0.098686406,94.54,"Solved? Yes, successful convergence with 7 obj function evaluations"
53,2.153649919,0.634028013,0.147620031,0.293575145,0.093020317,91.71,"Solved? Yes, successful convergence with 5 obj function evaluations"
54,2.542556041,0.536692202,0.098797575,0.28356616,0.095523007,90.96,"Solved? Yes, successful convergence with 5 obj function evaluations"
55,1.361470454,0.642869567,0.115811027,0.290219242,0.092676359,95.85,"Solved? Yes, successful convergence with 10 obj function evaluations"
56,2.63541001,0.614216496,0.147195168,0.298837757,0.107988596,90.19,"Solved? Yes, successful convergence with 7 obj function evaluations"
57,1.113326514,0.647819965,0.173910927,0.284916495,0.101501463,85.17,"Solved? Yes, successful convergence with 4 obj function evaluations"
58,2.123208662,0.668800083,0.14583043,0.285364247,0.094759628,89.56,"Solved? Yes, successful convergence with 6 obj function evaluations"
59,1.293929626,0.599010907,0.216079262,0.287009326,0.093240607,92.51,"Solved? Yes, successful convergence with 5 obj function evaluations"
60,1.861240759,0.694403598,0.163075825,0.284044276,0.105783663,89.53,"Solved? Yes, successful convergence with 8 obj function evaluations"
61,2.071659507,0.493440038,0.190855669,0.291535639,0.104323171,95.78,"Solved? Yes, successful convergence with 10 obj function evaluations"
62,1.831085605,0.5481318,0.091706724,0.301661616,0.103077136,96.28,"Solved? Yes, successful convergence with 12 obj function evaluations"
63,1.993128689,0.635815251,0.171498201,0.283324032,0.107315162,90.7,"Solved? Yes, successful convergence with 7 obj function evaluations"
64,2.560393556,0.708487162,0.175018127,0.290886014,0.104153333,85.78,"Solved? Yes, successful convergence with 6 obj function evaluations"
65,2.373828973,0.49734974,0.159369171,0.309338341,0.092495833,96.02,"Solved? Yes, successful convergence with 12 obj function evaluations"
66,1.76342516,0.660310648,0.18514586,0.301329743,0.090384357,94.09,"Solved? Yes, successful convergence with 6 obj function evaluations"
67,2.574757432,0.654149915,0.12437031,0.283418208,0.091164846,86.44,"Solved? Yes, successful convergence with 5 obj function evaluations"
68,1.794274673,0.506778386,0.111360121,0.294262734,0.10282984,96.88,"Solved? Yes, successful convergence with 11 obj function evaluations"
69,1.559328287,0.583409344,0.219426973,0.289133008,0.093521795,94.56,"Solved? Yes, successful convergence with 7 obj function evaluations"
70,1.22914142,0.479483234,0.118848348,0.292534412,0.105591429,97.6,"Solved? No, too many function evaluations required with 25 obj function evaluations"
71,1.698781441,0.666745496,0.216938841,0.285689157,0.090203069,90.45,"Solved? Yes, successful convergence with 7 obj function evaluations"
72,1.856244077,0.712169276,0.155313324,0.299138387,0.106233369,91.74,"Solved? Yes, successful convergence with 8 obj function evaluations"
73,1.874665232,0.589684437,0.093656126,0.307310797,0.103606703,95.64,"Solved? Yes, successful convergence with 10 obj function evaluations"
74,2.445207462,0.519573889,0.182070421,0.296248986,0.095650608,93.91,"Solved? Yes, successful convergence with 7 obj function evaluations"
75,2.290480976,0.489092481,0.108265279,0.295191929,0.098541121,95.14,"Solved? Yes, successful convergence with 12 obj function evaluations"
76,1.461696071,0.688445746,0.112631649,0.285199209,0.105315454,92.96,"Solved? Yes, successful convergence with 8 obj function evaluations"
77,1.076877822,0.624970745,0.241656224,0.291793601,0.093873246,79.97,"Solved? Yes, successful convergence with 4 obj function evaluations"
78,2.016633885,0.584997275,0.24016308,0.307456286,0.095209073,94.78,"Solved? Yes, successful convergence with 9 obj function evaluations"
79,2.394043133,0.471725419,0.132427673,0.30305932,0.090330865,95.89,"Solved? Yes, successful convergence with 9 obj function evaluations"
80,1.713853866,0.476927231,0.247737523,0.303687637,0.091582106,97.9,"Solved? Yes, successful convergence with 13 obj function evaluations"
81,1.582930033,0.593961027,0.154161183,0.309043155,0.101679605,97.2,"Solved? Yes, successful convergence with 13 obj function evaluations"
82,1.338325208,0.615793546,0.194713874,0.305281496,0.103814095,95.32,"Solved? Yes, successful convergence with 5 obj function evaluations"
83,2.32308777,0.705827809,0.210395296,0.299961138,0.101610568,88.53,"Solved? Yes, successful convergence with 7 obj function evaluations"
84,1.107468873,0.489388766,0.130183931,0.301746415,0.104534678,97.02,"Solved? No, too many function evaluations required with 25 obj function evaluations"
85,1.891869296,0.626688395,0.20174313,0.298474605,0.106739686,93.27,"Solved? Yes, successful convergence with 9 obj function evaluations"
86,1.162970121,0.509713424,0.224002684,0.302210503,0.097353858,97.89,"Solved? Yes, successful convergence with 9 obj function evaluations"
87,1.344399187,0.701422615,0.150093345,0.293653167,0.090059727,94.17,"Solved? Yes, successful convergence with 6 obj function evaluations"
88,1.955493378,0.655500475,0.090726188,0.295069432,0.100199015,92.37,"Solved? Yes, successful convergence with 7 obj function evaluations"
89,2.31524636,0.665393848,0.094312534,0.310784608,0.098437151,91.51,"Solved? Yes, successful convergence with 7 obj function evaluations"
90,1.742139766,0.54201443,0.160474012,0.286234257,0.092922476,95.72,"Solved? Yes, successful convergence with 8 obj function evaluations"
91,2.351726868,0.554184851,0.096590793,0.296732868,0.093758249,92.94,"Solved? Yes, successful convergence with 6 obj function evaluations"
92,1.400520224,0.61179164,0.184124624,0.297829818,0.107765312,94.75,"Solved? Yes, successful convergence with 5 obj function evaluations"
93,1.159651756,0.494330614,0.120736168,0.310620474,0.096474648,94.26,"Solved? No, too many function evaluations required with 25 obj function evaluations"
94,1.216136853,0.49936089,0.107594452,0.299004982,0.101782071,97.07,"Solved? No, too many function evaluations required with 25 obj function evaluations"
95,2.554672147,0.574820371,0.245445735,0.292168494,0.09713164,89.88,"Solved? Yes, successful convergence with 6 obj function evaluations"
96,2.076341819,0.691465953,0.202669721,0.306632023,0.099993685,91.82,"Solved? Yes, successful convergence with 7 obj function evaluations"
97,1.618316198,0.681153227,0.177415789,0.292840381,0.099204551,92.52,"Solved? Yes, successful convergence with 7 obj function evaluations"
98,1.254444969,0.67866272,0.221482826,0.308162954,0.093156145,90.21,"Solved? Yes, successful convergence with 4 obj function evaluations"
99,1.982522808,0.484812786,0.152281192,0.297548554,0.096948015,96.89,"Solved? Yes, successful convergence with 11 obj function evaluations"
100,2.424067567,0.525210709,0.10151919,0.294861561,0.09189499,93.27,"Solved? Yes, successful convergence with 5 obj function evaluations"
101,1.258309773,0.574861861,0.14283931,0.302461769,0.106581333,97.94,"Solved? Yes, successful convergence with 16 obj function evaluations"
102,2.000588451,0.715719215,0.189005635,0.292038479,0.09731971,89.15,"Solved? Yes, successful convergence with 7 obj function evaluations"
103,1.247102978,0.646865219,0.135097675,0.309225132,0.10318556,97.07,"Solved? Yes, successful convergence with 12 obj function evaluations"
104,2.147880292,0.582375326,0.141482821,0.289347841,0.09403873,92.77,"Solved? Yes, successful convergence with 6 obj function evaluations"
105,1.095256061,0.5573654,0.191101296,0.288057125,0.100474045,92.91,"Solved? Yes, successful convergence with 4 obj function evaluations"
106,2.407929634,0.590034441,0.180499203,0.284532627,0.095344243,90.09,"Solved? Yes, successful convergence with 4 obj function evaluations"
107,2.302068467,0.524421767,0.13762829,0.307125402,0.106163788,95.46,"Solved? Yes, successful convergence with 10 obj function evaluations"
108,1.524685888,0.477551742,0.193677688,0.285504188,0.097037119,97.69,"Solved? Yes, successful convergence with 13 obj function evaluations"
109,1.921115685,0.698408,0.085844803,0.293140368,0.102597791,91.14,"Solved? Yes, successful convergence with 8 obj function evaluations"
110,2.624809946,0.469531216,0.20804583,0.291373059,0.097720112,93.98,"Solved? Yes, successful convergence with 7 obj function evaluations"
111,2.110106024,0.52867509,0.203138971,0.284360488,0.094159432,93.64,"Solved? Yes, successful convergence with 6 obj function evaluations"
112,1.821333028,0.570188262,0.199168532,0.290077556,0.092362218,94.64,"Solved? Yes, successful convergence with 7 obj function evaluations"
113,1.27060548,0.539866372,0.204222287,0.293930171,0.097446724,97.13,"Solved? Yes, successful convergence with 9 obj function evaluations"
114,2.349303492,0.504462921,0.193165772,0.296414447,0.10419007,94.79,"Solved? Yes, successful convergence with 12 obj function evaluations"
115,1.331894156,0.605315039,0.139254559,0.299591296,0.090512011,97.42,"Solved? Yes, successful convergence with 8 obj function evaluations"
116,1.313425099,0.507864876,0.215085918,0.286635477,0.097648147,97.04,"Solved? Yes, successful convergence with 9 obj function evaluations"
117,2.184136411,0.618282557,0.153687942,0.289766924,0.099880922,91.47,"Solved? Yes, successful convergence with 6 obj function evaluations"
118,2.364088275,0.503089407,0.169695911,0.300381182,0.101060002,95.19,"Solved? Yes, successful convergence with 12 obj function evaluations"
119,1.483805274,0.632264621,0.213246093,0.295373145,0.092845845,93.99,"Solved? Yes, successful convergence with 6 obj function evaluations"
120,2.218113634,0.683522082,0.226103568,0.300138737,0.091009082,89.87,"Solved? Yes, successful convergence with 6 obj function evaluations"
121,1.445956058,0.718325149,0.126295753,0.292442666,0.106352934,92.33,"Solved? Yes, successful convergence with 7 obj function evaluations"
122,1.198597751,0.679395273,0.223704628,0.299328218,0.102209866,80.64,"Solved? Yes, successful convergence with 3 obj function evaluations"
123,2.167053407,0.649340874,0.104993383,0.30863349,0.106936997,92.87,"Solved? Yes, successful convergence with 10 obj function evaluations"
124,2.042542689,0.576715057,0.229687631,0.297258836,0.100767758,93.58,"Solved? Yes, successful convergence with 7 obj function evaluations"
125,1.139568363,0.669472711,0.13318209,0.289591356,0.094337417,93.71,"Solved? Yes, successful convergence with 5 obj function evaluations"
126,1.658862929,0.534082076,0.206184663,0.288529124,0.095774689,96.01,"Solved? Yes, successful convergence with 10 obj function evaluations"
127,2.596385171,0.517397632,0.088670499,0.307709278,0.100565778,93.76,"Solved? Yes, successful convergence with 7 obj function evaluations"
128,2.277680963,0.612078608,0.165985558,0.294543486,0.1054571,91.72,"Solved? Yes, successful convergence with 7 obj function evaluations"
129,2.248332759,0.482804826,0.11391693,0.30519798,0.104739838,96.31,"Solved? Yes, successful convergence with 12 obj function evaluations"
130,2.484724522,0.532258277,0.232803092,0.306180708,0.091407694,94.25,"Solved? Yes, successful convergence with 5 obj function evaluations"
131,2.33751147,0.629733453,0.128697386,0.30704529,0.104891142,92.44,"Solved? Yes, successful convergence with 7 obj function evaluations"
132,1.553351265,0.689116419,0.162124801,0.308527385,0.095953828,95.33,"Solved? Yes, successful convergence with 6 obj function evaluations"
133,1.536594702,0.68685386,0.119267185,0.28638134,0.102352523,92.96,"Solved? Yes, successful convergence with 8 obj function evaluations"
134,2.26267175,0.706030875,0.127556129,0.287433719,0.101236465,87.63,"Solved? Yes, successful convergence with 6 obj function evaluations"
135,2.469546009,0.720049409,0.170289955,0.295952737,0.096300326,87.04,"Solved? Yes, successful convergence with 6 obj function evaluations"
136,2.579002404,0.580656354,0.149131154,0.286085597,0.098189607,89.76,"Solved? Yes, successful convergence with 5 obj function evaluations"
137,1.411987961,0.562544353,0.16813821,0.298499407,0.104036255,97.4,"Solved? Yes, successful convergence with 12 obj function evaluations"
138,1.696270822,0.591957124,0.217336662,0.304664895,0.0994899,95.79,"Solved? Yes, successful convergence with 9 obj function evaluations"
139,2.665155249,0.572370073,0.151082633,0.3089188,0.096722466,92.66,"Solved? Yes, successful convergence with 7 obj function evaluations"
140,1.120324361,0.538017096,0.129693356,0.305638009,0.103776965,96.56,"Solved? No, too many function evaluations required with 25 obj function evaluations"
141,1.381824378,0.672028254,0.123935385,0.310132808,0.102368007,96.64,"Solved? Yes, successful convergence with 11 obj function evaluations"
142,2.225958397,0.713948396,0.235531174,0.297978744,0.098123792,87.45,"Solved? Yes, successful convergence with 7 obj function evaluations"
143,2.428986883,0.486596525,0.115291777,0.294692214,0.106855626,94.65,"Solved? Yes, successful convergence with 12 obj function evaluations"
144,1.435929806,0.607394036,0.238667268,0.302308431,0.090775804,94.87,"Solved? Yes, successful convergence with 6 obj function evaluations"
145,2.529336758,0.547727969,0.123143591,0.291144213,0.090906673,91.74,"Solved? Yes, successful convergence with 5 obj function evaluations"
146,1.64817533,0.619981116,0.219526488,0.309811591,0.095457324,95.88,"Solved? Yes, successful convergence with 9 obj function evaluations"
147,1.504729358,0.567535534,0.228553235,0.287900335,0.107451364,92.41,"Solved? Yes, successful convergence with 6 obj function evaluations"
148,2.679760113,0.652950924,0.103957174,0.296533947,0.107138773,87.83,"Solved? Yes, successful convergence with 6 obj function evaluations"
149,1.150097323,0.513490362,0.187902745,0.303211358,0.096160721,98.11,"Solved? No, too many function evaluations required with 25 obj function evaluations"
150,1.594036699,0.550705695,0.179683521,0.290565349,0.09660075,96.4,"Solved? Yes, successful convergence with 8 obj function evaluations"
