Runs,Tl_0_guess,message
1,323.0,Collides at 0.90
2,323.02,Collides at 0.90
3,323.04,Collides at 0.90
4,323.06,Collides at 0.90
5,323.08,Collides at 0.90
6,323.1,Collides at 0.90
7,323.12,Collides at 0.90
8,323.14,Collides at 0.90
9,323.16,Collides at 0.96
10,323.18,Collides at 0.96
11,323.2,Collides at 0.96
12,323.22,Collides at 0.96
13,323.24,Collides at 0.96
14,323.26,Collides at 0.96
15,323.28,Collides at 0.96
16,323.3,Collides at 0.96
17,323.32,Collides at 0.96
18,323.34,Collides at 0.96
19,323.36,Collides at 0.96
20,323.38,Collides at 0.96
21,323.4,Collides at 0.96
22,323.42,Collides at 0.96
23,323.44,Collides at 1.02
24,323.46,Collides at 1.02
25,323.48,Collides at 1.02
26,323.5,Collides at 1.02
27,323.52,Collides at 1.02
28,323.54,Collides at 1.02
29,323.56,Collides at 1.02
30,323.58,Collides at 1.08
31,323.6,Collides at 1.08
32,323.62,Collides at 1.08
33,323.64,Collides at 1.08
34,323.66,Collides at 1.08
35,323.68,Collides at 1.14
36,323.7,Collides at 1.14
37,323.72,Collides at 1.20
38,323.74,Collides at 1.26
39,323.76,Diverges Up
40,323.78,Diverges Up
41,323.8,Diverges Up
42,323.82,Diverges Up
43,323.84,Diverges Up
44,323.86,Diverges Up
45,323.88,Diverges Up
46,323.9,Diverges Up
47,323.92,Diverges Up
48,323.94,Diverges Up
49,323.96,Diverges Up
50,323.98,Diverges Up
51,324.0,Diverges Up
52,324.02,Diverges Up
53,324.04,Diverges Up
54,324.06,Diverges Up
55,324.08,Diverges Up
56,324.1,Diverges Up
57,324.12,Diverges Up
58,324.14,Diverges Up
59,324.16,Diverges Up
60,324.18,Diverges Up
61,324.2,Diverges Up
62,324.22,Diverges Up
63,324.24,Diverges Up
64,324.26,Diverges Up
65,324.28,Diverges Up
66,324.3,Diverges Up
67,324.32,Diverges Up
68,324.34,Diverges Up
69,324.36,Diverges Up
70,324.38,Diverges Up
71,324.4,Diverges Up
72,324.42,Diverges Up
73,324.44,Diverges Up
74,324.46,Diverges Up
75,324.48,Diverges Up
76,324.5,Diverges Up
77,324.52,Diverges Up
78,324.54,Diverges Up
79,324.56,Diverges Up
80,324.58,Diverges Up
81,324.6,Diverges Up
82,324.62,Diverges Up
83,324.64,Diverges Up
84,324.66,Diverges Up
85,324.68,Diverges Up
86,324.7,Diverges Up
87,324.72,Diverges Up
88,324.74,Diverges Up
89,324.76,Diverges Up
90,324.78,Diverges Up
91,324.8,Diverges Up
92,324.82,Diverges Up
93,324.84,Diverges Up
94,324.86,Diverges Up
95,324.88,Diverges Up
96,324.9,Diverges Up
97,324.92,Diverges Up
98,324.94,Diverges Up
99,324.96,Diverges Up
100,324.98,Diverges Up
101,325.0,Diverges Up
