Stages,Tl,Tv,N_CO2,N_H2O,DF_CO2,DF_H2O,Pv_H2O,Pl_H2O,Psat_H2O,Cl_CO2_true,Cl_MEA_true,Cl_H2O_true,Cl_MEAH_true,Cl_MEACOO_true,Cl_HCO3_true,Ef,muv,kv_CO2,kv_H2O,x_H2O_true
1.32,339.672564,338.2579621,0.00635403,-0.024561423,202.5462866,-620.8729665,22262.99228,23677.21384,26839.21498,0.126101394,2243.320897,38919.47811,1477.050047,1403.466478,73.58356818,38.83883845,1.77791E-05,3.15457E-05,4.09997E-05,0.882187272
1.2,338.9130057,337.3799934,0.006392045,-0.025465901,204.6246214,-648.3184733,21404.86004,22883.86524,25950.92866,0.13132959,2190.925901,38925.38097,1513.003871,1437.192373,75.81149796,37.33895301,1.77986E-05,3.13526E-05,4.07813E-05,0.881812961
1.08,338.0928748,336.4220223,0.006418274,-0.026450661,206.4212281,-678.8669142,20502.88019,22053.17852,25019.92046,0.13631569,2138.165149,38931.36465,1549.503816,1471.481954,78.02186154,35.83555887,1.78175E-05,3.11483E-05,4.05509E-05,0.881424805
0.96,337.2032781,335.3692665,0.006432653,-0.027541389,207.9401084,-713.491315,19551.76325,21181.7471,24042.24952,0.140920207,2085.130238,38937.44348,1586.530242,1506.342963,80.1872796,34.32938369,1.78355E-05,3.09315E-05,4.03069E-05,0.881021848
0.84,336.2328613,334.2021107,0.006435125,-0.028773002,209.1862427,-753.5497535,18544.61593,20265.25456,23012.93388,0.144968624,2031.912529,38943.63992,1624.072159,1541.799917,82.2722412,32.82028272,1.78521E-05,3.07002E-05,4.00472E-05,0.880602824
0.72,335.1668363,332.8941063,0.006425584,-0.030194052,210.1638583,-800.9986554,17472.29277,19298.16568,21925.59707,0.14824231,1978.602973,38949.98703,1662.13076,1577.900655,84.23010417,31.30693231,1.78669E-05,3.04521E-05,3.9769E-05,0.880166028
0.6,333.9855029,331.4091968,0.006403793,-0.031874225,210.8734762,-858.7796945,16322.38336,18273.29143,20771.97009,0.150466512,1925.29255,38956.53091,1700.724572,1614.725974,85.9985973,29.78637843,1.78791E-05,3.01836E-05,3.94688E-05,0.879709115
0.48,332.6619221,329.6982189,0.006369244,-0.033917988,211.306816,-931.5728449,15077.5378,17181.16306,19541.1751,0.151294333,1872.073896,38963.33118,1739.897482,1652.404617,87.49286502,28.25335471,1.78876E-05,2.98904E-05,3.91413E-05,0.879228755
0.36,331.1581017,327.6956442,0.006320936,-0.036491206,211.4377236,-1027.372112,13712.50072,16009.11064,18218.67101,0.150285306,1819.045412,38970.45364,1779.732362,1691.13804,88.59432205,26.6991889,1.78911E-05,2.95658E-05,3.87792E-05,0.878720003
0.24,329.4184288,325.3205515,0.006257001,-0.039876857,211.2053639,-1161.025297,12188.42328,14739.87283,16784.66401,0.146877032,1766.320772,38977.93712,1820.376412,1731.244379,89.1320333,25.10998053,1.78888E-05,2.92003E-05,3.83719E-05,0.87817503
0.12,327.357661,322.4950543,0.006170692,-0.0445756,210.5229224,-1362.494649,10440.96661,13349.44858,15211.65358,0.140349023,1714.05101,38985.68424,1862.092892,1773.242875,88.85001711,23.46338368,1.78814E-05,2.87766E-05,3.79E-05,0.87758037
0,324.8367938,319.22,0.006066672,-0.051711218,200,-1600,8352.447373,11803.46126,13460.28491,0.129786393,1662.441628,38993.13503,1905.40087,1818.05277,87.34810026,21.69949608,1.78768E-05,0.0000283,0.0000374,0.87691021
