L,alpha,y_CO2,G,w_MEA,CO2_Cap,Sim_time,L_G,CO2_Error
182.0789695,0.164683619,0.066578124,75.59249535,0.285031836,0.9593,11.3,2.408691083,0.0243
182.0789695,0.167058208,0.077330321,75.59249535,0.285031836,0.8461,9.5,2.408691083,0.007
182.0789695,0.167058208,0.066578124,88.98150325,0.285031836,0.8207,9.7,2.046256388,0.0038
182.0789695,0.167058208,0.066578124,75.59249535,0.318829799,0.997,698.3,2.408691083,1.9999
182.0789695,0.167058208,0.066578124,75.59249535,0.285031836,0.9547,9.4,2.408691083,0.004
187.8284669,0.140514755,0.066914894,82.03793585,0.288484145,0.9489,11.2,2.289531848,0.0012
195.9404659,0.140514755,0.066914894,82.03793585,0.288484145,0.9558,14,2.38841292,0.0029
187.8284669,0.146863595,0.066914894,82.03793585,0.288484145,0.9375,9.8,2.289531848,0.0056
187.8284669,0.140514755,0.075893666,82.03793585,0.288484145,0.8568,9.4,2.289531848,0.0143
187.8284669,0.140514755,0.066914894,94.24252033,0.288484145,0.8352,13.3,1.993033147,0.0137
187.8284669,0.140514755,0.066914894,82.03793585,0.315113897,0.9934,279.9,2.289531848,0.009
187.8284669,0.146863595,0.075893666,94.24252033,0.315113897,0.7919,8.7,1.993033147,0.0038
195.9404659,0.140514755,0.075893666,94.24252033,0.315113897,0.8091,14.4,2.079108933,0.0088
195.9404659,0.146863595,0.066914894,94.24252033,0.315113897,0.8893,8.3,2.079108933,0.0079
195.9404659,0.146863595,0.075893666,82.03793585,0.315113897,0.9111,9.9,2.38841292,0.0177
195.9404659,0.146863595,0.075893666,94.24252033,0.288484145,0.7452,15,2.079108933,0.0037
195.9404659,0.146863595,0.075893666,94.24252033,0.315113897,0.7981,9.5,2.079108933,0.0111
200.1957417,0.150223873,0.070237509,94.61015701,0.294936886,0.8057,13.5,2.116006864,0.0029
193.4847331,0.150223873,0.070237509,94.61015701,0.294936886,0.8007,15.8,2.045073586,0.0076
200.1957417,0.157779777,0.070237509,94.61015701,0.294936886,0.7923,9.4,2.116006864,0.0027
200.1957417,0.150223873,0.073161882,94.61015701,0.294936886,0.777,14.7,2.116006864,0.0025
200.1957417,0.150223873,0.070237509,85.14414668,0.294936886,0.8912,9.8,2.351256657,0.0218
200.1957417,0.150223873,0.070237509,94.61015701,0.305196168,0.8274,12,2.116006864,0.004
200.1957417,0.157779777,0.073161882,85.14414668,0.305196168,0.8686,18.4,2.351256657,0.0006
193.4847331,0.150223873,0.073161882,85.14414668,0.305196168,0.878,9.8,2.27243728,0.0016
193.4847331,0.157779777,0.070237509,85.14414668,0.305196168,0.8947,16,2.27243728,0.0103
193.4847331,0.157779777,0.073161882,94.61015701,0.305196168,0.7802,12.4,2.045073586,0.0158
193.4847331,0.157779777,0.073161882,85.14414668,0.294936886,0.841,15.5,2.27243728,0.0043
193.4847331,0.157779777,0.073161882,85.14414668,0.305196168,0.8638,12.1,2.27243728,0.0015
169.8753908,0.134978145,0.060496524,76.55332416,0.302708907,0.9999,671.2,2.219046562,0.0648
169.5358843,0.134978145,0.060496524,76.55332416,0.302708907,0.9998,711.9,2.214611659,3.8413
169.8753908,0.138600525,0.060496524,76.55332416,0.302708907,0.9999,451.6,2.219046562,0.07
169.8753908,0.134978145,0.0643151,76.55332416,0.302708907,0.9996,457.8,2.219046562,0.0213
169.8753908,0.134978145,0.060496524,83.75023842,0.302708907,0.9975,535.6,2.028357101,0.011
169.8753908,0.134978145,0.060496524,76.55332416,0.295283098,0.9998,516.7,2.219046562,0.0114
169.8753908,0.138600525,0.0643151,83.75023842,0.295283098,0.9577,12.7,2.028357101,0.0033
169.5358843,0.134978145,0.0643151,83.75023842,0.295283098,0.9632,18.2,2.024303303,0.0098
169.5358843,0.138600525,0.060496524,83.75023842,0.295283098,0.9907,130.4,2.024303303,0.009
169.5358843,0.138600525,0.0643151,76.55332416,0.295283098,0.9985,367.8,2.214611659,0.0271
169.5358843,0.138600525,0.0643151,83.75023842,0.302708907,0.9732,12.1,2.024303303,0.0252
169.5358843,0.138600525,0.0643151,83.75023842,0.295283098,0.9573,11.1,2.024303303,0.0249
165.1263519,0.16814465,0.072475499,80.86382389,0.297640824,0.8415,12.8,2.04202997,0.0043
171.6395748,0.16814465,0.072475499,80.86382389,0.297640824,0.8518,11.2,2.122575541,0.0106
165.1263519,0.168188987,0.072475499,80.86382389,0.297640824,0.8414,13,2.04202997,0.0033
165.1263519,0.16814465,0.065933805,80.86382389,0.297640824,0.9118,10,2.04202997,0.013
165.1263519,0.16814465,0.072475499,76.62869126,0.297640824,0.8862,16.6,2.154889366,0
165.1263519,0.16814465,0.072475499,80.86382389,0.303596799,0.8559,15.7,2.04202997,0.0095
165.1263519,0.168188987,0.065933805,76.62869126,0.303596799,0.9701,16.2,2.154889366,0.0034
171.6395748,0.16814465,0.065933805,76.62869126,0.303596799,0.9786,15.8,2.239886548,0.0246
171.6395748,0.168188987,0.072475499,76.62869126,0.303596799,0.9108,15,2.239886548,0.0098
171.6395748,0.168188987,0.065933805,80.86382389,0.303596799,0.9366,13.4,2.122575541,0.025
171.6395748,0.168188987,0.065933805,76.62869126,0.297640824,0.9658,16.7,2.239886548,0.0045
171.6395748,0.168188987,0.065933805,76.62869126,0.303596799,0.9784,13.2,2.239886548,0.0208
204.8024774,0.146652093,0.062109053,87.8069818,0.309712162,0.9859,10.5,2.332416775,0.0174
185.1884151,0.146652093,0.062109053,87.8069818,0.309712162,0.9777,13.4,2.109039751,0.003
204.8024774,0.147916062,0.062109053,87.8069818,0.309712162,0.9847,11.1,2.332416775,0.0186
204.8024774,0.146652093,0.076616374,87.8069818,0.309712162,0.8425,10.2,2.332416775,0.0014
204.8024774,0.146652093,0.062109053,92.89077282,0.309712162,0.9494,14.5,2.204766643,0.0169
204.8024774,0.146652093,0.062109053,87.8069818,0.293678159,0.9599,14.8,2.332416775,0.0116
204.8024774,0.147916062,0.076616374,92.89077282,0.293678159,0.7645,12.8,2.204766643,0.0091
185.1884151,0.146652093,0.076616374,92.89077282,0.293678159,0.7516,12.8,1.993614752,0.0027
185.1884151,0.147916062,0.062109053,92.89077282,0.293678159,0.8969,12.6,1.993614752,0.0008
185.1884151,0.147916062,0.076616374,87.8069818,0.293678159,0.792,15.4,2.109039751,0.0051
185.1884151,0.147916062,0.076616374,92.89077282,0.309712162,0.782,11,1.993614752,0.0028
185.1884151,0.147916062,0.076616374,92.89077282,0.293678159,0.7495,13.4,1.993614752,0.0032
187.1722364,0.156361916,0.075114151,75.23271862,0.313747911,0.963,14.2,2.487910046,0.0216
202.7325726,0.156361916,0.075114151,75.23271862,0.313747911,0.9721,10.8,2.69473942,0.0277
187.1722364,0.156337051,0.075114151,75.23271862,0.313747911,0.9631,14.6,2.487910046,0.0138
187.1722364,0.156361916,0.074353045,75.23271862,0.313747911,0.9692,16.8,2.487910046,0.0108
187.1722364,0.156361916,0.075114151,86.45196795,0.313747911,0.8478,15.1,2.165043097,0.0147
187.1722364,0.156361916,0.075114151,75.23271862,0.283506893,0.8939,9.8,2.487910046,0.0088
187.1722364,0.156337051,0.074353045,86.45196795,0.283506893,0.7885,8,2.165043097,0.0026
202.7325726,0.156361916,0.074353045,86.45196795,0.283506893,0.8015,15.7,2.34503132,0.0022
202.7325726,0.156337051,0.075114151,86.45196795,0.283506893,0.7952,11.5,2.34503132,0.0052
202.7325726,0.156337051,0.074353045,75.23271862,0.283506893,0.9148,14.3,2.69473942,0.0074
202.7325726,0.156337051,0.074353045,86.45196795,0.313747911,0.8658,11.6,2.34503132,0.0047
202.7325726,0.156337051,0.074353045,86.45196795,0.283506893,0.8017,23.7,2.34503132,0.004
183.0600715,0.138440951,0.065324491,93.28916073,0.283936924,0.848,11.8,1.962286615,0.0028
179.0966761,0.138440951,0.065324491,93.28916073,0.283936924,0.843,13.3,1.919801558,0.0066
183.0600715,0.137236264,0.065324491,93.28916073,0.283936924,0.8502,14.8,1.962286615,0.0017
183.0600715,0.138440951,0.063201716,93.28916073,0.283936924,0.8717,13.2,1.962286615,0.0006
183.0600715,0.138440951,0.065324491,82.7579689,0.283936924,0.9468,11.9,2.211993285,0.0083
183.0600715,0.138440951,0.065324491,93.28916073,0.313593149,0.9168,13.8,1.962286615,0.0026
183.0600715,0.137236264,0.063201716,82.7579689,0.313593149,0.9987,363.7,2.211993285,0.0316
179.0966761,0.138440951,0.063201716,82.7579689,0.313593149,0.9984,432.9,2.16410188,0.0158
179.0966761,0.137236264,0.065324491,82.7579689,0.313593149,0.9949,323,2.16410188,0.0098
179.0966761,0.137236264,0.063201716,93.28916073,0.313593149,0.9385,17,1.919801558,0.005
179.0966761,0.137236264,0.063201716,82.7579689,0.283936924,0.9663,10.9,2.16410188,0.0047
179.0966761,0.137236264,0.063201716,82.7579689,0.313593149,0.9985,473.1,2.16410188,0.0184
178.7899888,0.154636879,0.06484985,90.76998949,0.286720082,0.8476,13.4,1.969703751,0.0021
166.9377628,0.154636879,0.06484985,90.76998949,0.286720082,0.83,11.8,1.839129471,0.0025
178.7899888,0.151050136,0.06484985,90.76998949,0.286720082,0.8542,12,1.969703751,0.0142
178.7899888,0.154636879,0.070848058,90.76998949,0.286720082,0.7856,22.8,1.969703751,0.0028
178.7899888,0.154636879,0.06484985,89.81210828,0.286720082,0.8563,12.2,1.990711411,0.0007
178.7899888,0.154636879,0.06484985,90.76998949,0.298737024,0.8765,16.3,1.969703751,0.0064
178.7899888,0.151050136,0.070848058,89.81210828,0.298737024,0.8275,18.2,1.990711411,0.0011
166.9377628,0.154636879,0.070848058,89.81210828,0.298737024,0.8047,16.4,1.858744506,0.0035
166.9377628,0.151050136,0.06484985,89.81210828,0.298737024,0.8747,12.3,1.858744506,0.0126
166.9377628,0.151050136,0.070848058,90.76998949,0.298737024,0.8028,12.4,1.839129471,0.0229
166.9377628,0.151050136,0.070848058,89.81210828,0.286720082,0.7832,9.2,1.858744506,0.0059
166.9377628,0.151050136,0.070848058,89.81210828,0.298737024,0.811,16.6,1.858744506,0.0017
190.9685707,0.130488253,0.074629738,77.59533823,0.315906365,0.9885,180.9,2.461083038,0.0371
191.1206865,0.130488253,0.074629738,77.59533823,0.315906365,0.9885,194.1,2.463043411,0.0228
190.9685707,0.130074429,0.074629738,77.59533823,0.315906365,0.9889,205.4,2.461083038,0.0246
190.9685707,0.130488253,0.061687479,77.59533823,0.315906365,0.9999,600.8,2.461083038,0.8433
190.9685707,0.130488253,0.074629738,80.95727742,0.315906365,0.9613,9,2.358880842,0.012
190.9685707,0.130488253,0.074629738,77.59533823,0.308654807,0.9786,12.9,2.461083038,0.0407
190.9685707,0.130074429,0.061687479,80.95727742,0.308654807,0.9997,651.5,2.358880842,0.0338
191.1206865,0.130488253,0.061687479,80.95727742,0.308654807,0.9997,496.9,2.360759806,0.0371
191.1206865,0.130074429,0.074629738,80.95727742,0.308654807,0.9479,11.9,2.360759806,0.0133
191.1206865,0.130074429,0.061687479,77.59533823,0.308654807,0.9999,756.3,2.463043411,1.1387
191.1206865,0.130074429,0.061687479,80.95727742,0.315906365,0.9997,700.8,2.360759806,3.1773
191.1206865,0.130074429,0.061687479,80.95727742,0.308654807,0.9997,533.2,2.360759806,0.0361
198.3450198,0.160191882,0.06756173,85.01438022,0.301889665,0.9156,14.2,2.333076114,0.0008
198.6557603,0.160191882,0.06756173,85.01438022,0.301889665,0.9158,16.1,2.336731266,0.0091
198.3450198,0.164120338,0.06756173,85.01438022,0.301889665,0.9082,8.4,2.333076114,0.0154
198.3450198,0.160191882,0.069263002,85.01438022,0.301889665,0.8972,16,2.333076114,0.001
198.3450198,0.160191882,0.06756173,79.67452437,0.301889665,0.9673,16.1,2.489440902,0.014
198.3450198,0.160191882,0.06756173,85.01438022,0.318535123,0.9502,12.4,2.333076114,0.0017
198.3450198,0.164120338,0.069263002,79.67452437,0.318535123,0.9755,15.4,2.489440902,0.0111
198.6557603,0.160191882,0.069263002,79.67452437,0.318535123,0.9812,14,2.493341025,0.0156
